Exposure_Condition,Group_Comparison,Timepoint,BioSpyder_Identifier,Gene_Symbol,Mean_Expression_Count,padj,log2FC,"Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 1.5
(i.e., log2FC of 0.5849)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2
(i.e., log2FC of 1)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2.5
(i.e., log2FC of 1.3219)?"
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Adrb2_30408,Adrb2,246.265,8.17E-02,-0.9151,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Adsl_73597,Adsl,15.926,4.79E-02,1.0453,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Aen_72984,Aen,37.013,5.93E-02,0.8794,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Aftph_57768,Aftph,258.766,3.62E-04,-0.7525,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Agap3_79209,Agap3,67.419,6.40E-02,0.6196,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Agbl3_63795,Agbl3,228.463,1.00E-02,-0.7538,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ager_77468,Ager,4050.169,2.04E-03,0.7761,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Agl_67628,Agl,145.271,7.54E-02,0.8022,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Agmo_63237,Agmo,188.964,9.15E-02,-0.7477,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Agmo_70345,Agmo,96.235,1.12E-02,-1.1222,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ahcyl1_68061,Ahcyl1,147.426,2.81E-02,0.6100,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,AI661384_31503,AI661384,12.396,2.33E-02,-1.5293,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Aida_80771,Aida,1447.041,4.02E-05,0.6538,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ak1_72499,Ak1,530.016,2.16E-02,0.7850,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Akirin2_58815,Akirin2,4455.166,4.13E-02,-0.6202,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Akr1b8_79928,Akr1b8,203.680,4.95E-02,0.8331,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Akt1s1_69228,Akt1s1,126.858,1.23E-02,0.7864,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Akt1s1_76658,Akt1s1,86.719,2.53E-03,0.9070,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Akt3_31925,Akt3,183.205,7.55E-03,-0.7653,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Alcam_79961,Alcam,463.278,2.31E-04,-0.9020,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Aldh1b1_55512,Aldh1b1,143.634,5.02E-02,1.0660,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Aldh3a1_60545,Aldh3a1,183.933,9.89E-03,1.4451,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Aldoa_65660,Aldoa,492.796,3.18E-04,0.9360,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Alg11_64834,Alg11,20.638,2.80E-04,-1.7055,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Alg11_67845,Alg11,36.468,6.37E-04,-1.4527,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Alox15_61552,Alox15,15.007,9.59E-02,-1.6262,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Alyref_79169,Alyref,220.807,1.07E-02,0.7338,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Amy1_29877,Amy1,30.262,1.64E-02,-1.3032,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Angptl2_64658,Angptl2,46.426,3.05E-03,1.0749,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Angptl2_72005,Angptl2,136.567,5.41E-03,0.7818,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ank2_73810,Ank2,65.647,5.02E-02,1.2088,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ankhd1_77255,Ankhd1,75.562,9.82E-02,-0.7882,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ankrd1_58025,Ankrd1,1982.672,1.21E-02,1.2877,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ankrd12_67010,Ankrd12,618.853,8.10E-02,-0.5907,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ankrd13c_69197,Ankrd13c,275.683,5.57E-03,-0.9254,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ankrd17_75068,Ankrd17,191.093,7.66E-02,-0.6996,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ankrd29_58778,Ankrd29,45.825,7.34E-02,-0.6825,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Anp32a_76549,Anp32a,1045.323,5.23E-06,-0.8583,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Anxa11_78331,Anxa11,119.424,6.66E-02,0.5966,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Anxa7_31097,Anxa7,967.867,3.77E-03,-0.7862,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Anxa9_64066,Anxa9,86.397,4.24E-02,-0.9033,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ap1s2_57749,Ap1s2,751.632,1.01E-02,-0.8023,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ap3s2_54516,Ap3s2,356.150,2.42E-02,-0.6972,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ap4b1_63794,Ap4b1,177.075,1.36E-02,-0.6272,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Apc_69392,Apc,520.975,3.27E-04,-0.7579,Yes,No,No
